7001|2003|450|17-04-2025|100|1002|Deleted
7002|2009|270|17-04-2025|50|1002|Deleted
7003|2001|380|18-04-2025|80|1002|Deleted
7004|2007|185|18-04-2025|60|1002|Deleted
7005|2005|310|19-04-2025|90|1002|Deleted
7006|2002|220|20-04-2025|120|1002|Deleted
7007|2010|510|21-04-2025|70|1002|Deleted
7008|2004|350|22-04-2025|110|1002|Deleted
7009|2008|190|23-04-2025|55|1002|Deleted
7010|2006|480|24-04-2025|95|1002|Deleted
7011|2009|280|25-04-2025|65|1002|Pending
7012|2003|390|26-04-2025|85|1002|Not Verified
7013|2001|175|27-04-2025|75|1002|Pending
7014|2009|320|28-04-2025|105|1002|Verified
7015|2005|250|29-04-2025|130|1002|Pending
7016|2002|460|30-04-2025|80|1002|Not Verified
7017|2010|200|01-05-2025|60|1002|Pending
7018|2004|500|02-05-2025|90|1002|Verified
7019|2008|290|03-05-2025|115|1002|Pending
7020|2006|400|04-05-2025|70|1002|Not Verified
7021|2007|180|05-05-2025|55|1002|Pending
7022|2003|330|06-05-2025|95|1002|Verified
7023|2009|260|07-05-2025|120|1002|Pending
7024|2001|470|08-05-2025|85|1002|Not Verified
7025|2005|210|09-05-2025|65|1002|Pending
7026|2002|520|10-05-2025|100|1002|Verified
7027|2010|300|11-05-2025|135|1002|Pending
7028|2004|410|12-05-2025|75|1002|Not Verified
7029|2008|195|13-05-2025|50|1002|Pending
7030|2006|340|14-05-2025|105|1002|Verified
7031|2007|275|15-05-2025|125|1002|Pending
7032|2003|485|16-05-2025|80|1002|Not Verified
7033|2009|225|17-05-2025|60|1002|Pending
7034|2001|530|18-05-2025|90|1002|Verified
7035|2005|315|19-05-2025|110|1002|Pending
7036|2002|420|20-05-2025|70|1002|Not Verified
7037|2010|205|21-05-2025|55|1002|Pending
7038|2004|355|22-05-2025|95|1002|Verified
7039|2008|285|23-05-2025|120|1002|Pending
7040|2006|490|24-05-2025|85|1002|Not Verified
7041|2007|230|25-05-2025|65|1002|Pending
7042|2003|540|26-05-2025|100|1002|Verified
7043|2009|325|27-04-2025|130|1002|Pending
7044|2001|430|28-04-2025|75|1002|Not Verified
7045|2005|215|29-04-2025|50|1002|Pending
7046|2002|360|30-04-2025|105|1002|Verified
7047|2010|295|31-05-2025|125|1002|Pending
7048|2004|495|01-06-2025|80|1002|Not Verified
7049|2008|235|02-06-2025|60|1002|Pending
7050|2006|550|03-06-2025|90|1002|Verified
7051|2007|450|11-11-1111|1|1|Pending
7052|2003|450|00-00-0000|0|0|Pending
7053|2001|360|30-05-2025|105|1002|Verified
7054|2009|295|31-05-2025|125|1002|Pending
7055|2005|495|01-06-2025|80|1002|Not Verified
7056|2002|235|02-06-2025|60|1002|Pending
7057|2010|550|03-06-2025|90|1002|Verified
7058|2004|450|11-11-1111|1|1|Pending
7059|2008|450|00-00-0000|0|0|Deleted
7060|2006|400|00-00-0000|5|777|Pending
